"USERID";"Password";"Name";"AccNum";"Balance";"pin"
"Bhu1";"root@123";"Bhuwan Wankhede";"276262123";489732.0;"7777"
"Krati";"alpha@123";"Tridha Chavan";"276262124";740466.0;"7272"
"Jay11";"abc@123";"Jayesh Roy";"276262125";200050.0;"4442"
"rpant13";"Jimmy@123";"Arpan Malewar";"276262126";1999200.0;"1305"
"anik121";"Anki@123";" Aniket More";"276262127";131000.0;"3131"
"ayus11";"Ayus@123";"Ayush Mangal";"276262128";230000.0;"9002"
"nav14";"Nav@111";"Navya Raman";"276262129";20000.0;"2112"
"uma18";"uMa@111";"Uma Gopal";"276262130";200888.0;"2012"
"dev88";"dev#66";"Devansh Soni";"276262131";200022.0;"2003"
"gaur11";"Gaur$66";"Gaurav Sawhney";"276262132";70070.0;"6712"
"anuj88";"anuj&33";"Anuj Ramaswamy";"276262133";707770.0;"6992"
"vive32";"vive@13";"Vivek Sahni";"276262134";192134.0;"7777"
"manju11";"maju@13";"Manju Pal";"276262135";122188.0;"7677"
"kaus15";"kaus@19";"Kaustubh Kumbhare";"276262136";122668.0;"8888"
